city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lianmuqin Kancun,42.8781,89.9814,China,CN,Xinjiang,,33635,33635
Songcaozhen,37.7562,114.5834,China,CN,Hebei,,33601,33601
Cishan,36.5780,114.1020,China,CN,Hebei,,33474,33474
Shangcaiyuan,24.6817,102.6918,China,CN,Yunnan,,33287,33287
Xincheng,38.2639,114.6789,China,CN,Hebei,,33248,33248
Jishi,35.8511,102.4788,China,CN,Qinghai,minor,33022,33022
Laojiezi,26.8600,103.1306,China,CN,Yunnan,minor,32998,32998
Shaliuhe,39.8728,117.9390,China,CN,Hebei,,32778,32778
Huangzhuang,39.9905,117.1037,China,CN,Hebei,,32752,32752
Xiadian,39.9435,116.9120,China,CN,Hebei,,32686,32686
Pomian,25.2499,105.6589,China,CN,Guizhou,,32604,32604
Qarqan,38.1338,85.5333,China,CN,Xinjiang,minor,32494,32494
Baiyan,26.3584,106.2347,China,CN,Guizhou,,32473,32473
Yinchengpu,39.8189,118.1880,China,CN,Hebei,,32471,32471
Fucheng,35.3678,103.7074,China,CN,Gansu,minor,32463,32463
Yankou,27.5950,105.4174,China,CN,Guizhou,,32351,32351
Menglie,22.5833,101.8660,China,CN,Yunnan,minor,32306,32306
Zaojiao,34.4727,105.7062,China,CN,Gansu,,32260,32260
Xangda,32.2056,96.4751,China,CN,Qinghai,minor,32175,32175
Nilka,43.7826,82.5089,China,CN,Xinjiang,minor,31907,31907
Beixinzhuang,38.7914,116.0917,China,CN,Hebei,,31876,31876
Donggou,35.5621,112.7046,China,CN,Shanxi,,31732,31732
Zhaoyu,37.3512,112.3193,China,CN,Shanxi,minor,31685,31685
Zangang,39.0524,116.2017,China,CN,Hebei,,31671,31671
Jiming,40.1884,118.1392,China,CN,Hebei,,31658,31658
Tongkou,38.7952,115.8646,China,CN,Hebei,,31576,31576
Shentang,22.2915,113.3695,China,CN,Guangdong,,31559,31559
Dongxianpo,39.5610,115.9865,China,CN,Hebei,,31410,31410
Shahedian,37.6546,114.7392,China,CN,Hebei,,31370,31370
Wenxian Chengguanzhen,32.9421,104.6870,China,CN,Gansu,minor,31339,31339
Tanmen,19.2429,110.6120,China,CN,Hainan,,31322,31322
Duanshan,25.8308,106.5785,China,CN,Guizhou,,31203,31203
Beidaying,39.9686,119.5515,China,CN,Hebei,,31139,31139
